score,parameters
0.8104774355142386,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
0.8104774355142386,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
0.8084326043820752,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
0.8093616925291605,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
0.8102625371144327,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
0.8095397720102288,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
0.811202185073862,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
0.8067107938930139,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
0.806652594319735,"{'min_samples_leaf': 2, 'min_samples_split': 11}"
0.8057968703324023,"{'min_samples_leaf': 2, 'min_samples_split': 12}"
0.8007901807105322,"{'min_samples_leaf': 2, 'min_samples_split': 13}"
0.8020422691835085,"{'min_samples_leaf': 2, 'min_samples_split': 14}"
0.7982360965298104,"{'min_samples_leaf': 2, 'min_samples_split': 15}"
0.7963112410019489,"{'min_samples_leaf': 2, 'min_samples_split': 16}"
0.8019378426116338,"{'min_samples_leaf': 2, 'min_samples_split': 17}"
0.7934761503390685,"{'min_samples_leaf': 2, 'min_samples_split': 19}"
0.795612269365547,"{'min_samples_leaf': 2, 'min_samples_split': 18}"
0.7867721357323794,"{'min_samples_leaf': 2, 'min_samples_split': 20}"
0.7861214047849897,"{'min_samples_leaf': 2, 'min_samples_split': 21}"
0.7858243218865413,"{'min_samples_leaf': 2, 'min_samples_split': 22}"
0.7847459581172368,"{'min_samples_leaf': 2, 'min_samples_split': 23}"
0.7844226440772746,"{'min_samples_leaf': 2, 'min_samples_split': 24}"
0.7860132135548392,"{'min_samples_leaf': 2, 'min_samples_split': 25}"
0.7830619391530922,"{'min_samples_leaf': 2, 'min_samples_split': 26}"
0.7841001742347145,"{'min_samples_leaf': 2, 'min_samples_split': 27}"
